,LAeq,6.3 Hz,8 Hz,10 Hz,12.5 Hz,16 Hz,20 Hz,25 Hz,31.5 Hz,40 Hz,50 Hz,63 Hz,80 Hz,100 Hz,125 Hz,160 Hz,200 Hz,250 Hz,315 Hz,400 Hz,500 Hz,630 Hz,800 Hz,1 kHz,1.25 kHz,1.6 kHz,2 kHz,2.5 kHz,3.15 kHz,4 kHz,5 kHz,6.3 kHz,8 kHz,10 kHz,12.5 kHz,16 kHz,20 kHz
2023-03-25 08:45:00,46.552258,38.468246,39.893124,41.237865,42.812553,44.36625,45.23396,42.67066,44.00889,44.97382,41.640312,41.551422,38.091564,37.051216,40.020905,39.673054,36.01632,36.338818,36.49429,35.80545,37.20401,36.797516,36.6508,37.811283,36.084686,33.868664,31.592014,29.329758,31.048819,31.67014,27.701284,20.237968,12.94275,7.932272,7.8340883,8.593212,9.212787
2023-03-25 09:00:00,48.836666,37.634567,38.89771,41.75837,44.069202,45.19198,46.558056,44.177742,45.49,47.267014,43.97465,43.30993,41.33764,40.48125,41.17323,41.793785,38.17236,38.83026,38.910763,38.323734,38.947933,37.707985,38.165504,39.24906,37.69106,35.76427,33.94528,32.53257,33.83776,34.753075,30.370174,23.810867,15.614544,9.108249,8.591684,8.813455,9.338959
2023-03-25 09:15:00,50.571217,40.007397,41.02606,43.41743,45.337814,46.76361,47.282917,44.89285,46.135105,47.19677,44.69285,44.356632,41.48743,41.656544,43.507675,43.669548,40.111908,40.92137,40.571926,41.0092,42.467762,40.48368,39.640537,40.358852,38.653194,36.741665,34.94193,34.70863,36.060364,35.23745,31.897968,26.058907,20.178833,11.721831,8.804483,9.058394,9.409245
2023-03-25 09:30:00,48.002987,39.57903,40.486874,41.562378,43.24191,43.794235,45.352814,44.26993,45.272533,45.304165,42.5258,39.738262,38.37462,38.014393,38.874027,39.293922,37.964027,37.390537,37.97693,37.926025,38.10132,37.80908,38.22868,38.93771,37.319427,35.79495,33.664932,32.706146,32.16656,33.35361,30.956268,25.28283,21.071136,14.489863,12.641675,11.84105,10.845885
2023-03-25 09:45:00,51.0825,38.255867,40.1662,42.98441,45.28302,47.2558,48.21132,47.24118,48.34601,49.42698,46.910973,43.661564,42.140556,43.21,44.024548,43.49493,44.43094,42.219376,43.300175,42.67849,41.643124,41.15387,41.36288,41.410313,39.495033,37.581856,35.643578,34.97597,35.305016,34.992256,33.093143,26.51211,19.893164,12.90346,10.226476,9.391537,9.637587
2023-03-25 10:00:00,46.381042,38.197067,39.320606,41.12014,43.45448,45.07809,45.84899,44.214443,45.288437,46.108055,42.97507,37.988247,35.831562,36.72295,37.549026,37.254723,37.605972,35.708073,35.986095,35.074272,35.453438,35.56592,36.860172,37.578976,35.15448,33.33665,31.522692,32.28031,33.038715,32.3252,29.453959,24.282751,19.03441,10.1248045,8.233459,8.927908,9.483837
2023-03-25 10:15:00,49.305485,41.47092,42.531925,44.76894,46.43547,47.599827,48.24729,45.73507,46.587883,48.109512,45.562916,41.52224,39.002415,40.72703,42.114655,41.69007,41.964584,40.1671,40.84087,40.07637,39.86526,39.486824,40.204514,40.19653,38.02047,36.138474,33.868126,32.71762,32.640694,33.783905,29.38613,23.666904,18.815144,10.851181,8.839119,8.956658,9.494166
2023-03-25 10:30:00,51.002293,42.878075,43.855606,47.149548,48.989235,49.92389,50.250103,48.05726,48.744305,50.204132,48.575,44.076008,42.850937,44.137085,44.713367,44.43684,44.143818,42.61941,42.871735,41.89698,41.533127,41.053818,40.796078,41.18059,39.2325,37.32057,35.846146,36.485138,36.51908,34.789722,31.400581,25.838533,19.336935,12.941367,10.068616,9.31119,9.549748
2023-03-25 10:45:00,48.59184,47.122414,46.810886,47.24979,48.157394,48.295452,48.366943,46.742535,47.364166,47.78698,44.70403,40.54927,41.010345,40.352707,41.47844,42.17823,40.922256,39.202255,39.55295,38.464863,38.17052,38.680763,39.61545,40.041286,38.189304,36.44889,33.987778,32.375313,31.554218,32.58005,30.663498,23.300365,18.86958,13.029566,10.364991,9.656345,9.681641
2023-03-25 11:00:00,48.367813,47.061474,47.248768,47.381805,48.202187,48.012188,48.16611,46.60955,47.071564,47.316284,44.366077,41.235817,39.96856,41.286564,43.202396,44.167812,42.34663,39.838993,39.7342,38.362988,37.844307,38.17066,39.07323,39.80229,37.921318,35.75302,33.045696,31.790035,33.130123,32.406998,29.75671,23.17665,17.228668,12.846853,10.251142,9.503263,9.627309
